10:25:44.000 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@76f8d80b, org.springframework.security.web.context.SecurityContextPersistenceFilter@2a46b51f, org.springframework.security.web.header.HeaderWriterFilter@78fa47b4, org.springframework.web.filter.CorsFilter@68557551, org.springframework.security.web.authentication.logout.LogoutFilter@53b27b79, com.devteamvietnam.vuebackend.config.security.AuthTokenFilter@276761f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7d0dca78, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@57e0e58a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2df48c7e, org.springframework.security.web.session.SessionManagementFilter@4b4a1e53, org.springframework.security.web.access.ExceptionTranslationFilter@266e2e49, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@42947494]
10:25:44.178 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
10:25:44.279 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
10:25:44.279 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
10:25:44.283 [restartedMain] INFO  c.d.v.VuebackendApplication - Started VuebackendApplication in 1.911 seconds (JVM running for 4566.137)
10:25:44.285 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:26:23.844 [RMI TCP Connection(242)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
10:26:24.130 [RMI TCP Connection(242)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:26:24.132 [RMI TCP Connection(242)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
10:26:24.132 [RMI TCP Connection(242)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-43 - Shutdown initiated...
10:26:24.133 [RMI TCP Connection(242)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-43 - Shutdown completed.
